#one-scaled MTG generated by module "trees"								
CODE:	FORM-A							
								
CLASSES:								
SYMBOL	SCALE	DECOMPOSITION	INDEXATION	DEFINITION				
$	0	FREE      	FREE      	IMPLICIT				
N	1	CONNECTED 	FREE      	IMPLICIT				
V	2	NONE      	FREE      	EXPLICIT				
								
DESCRIPTION:								
LEFT	RIGHT	RELTYPE	MAX					
V	V	+	?					
V	V	<	?					
								
FEATURES:								
NAME	TYPE							
								
Length	INT							
HalfNbCat	INT							
HalfNbLeaves	INT							
IN	INT							
								
MTG:								
ENTITY-CODE					Length	HalfNbCat	HalfNbLeaves	IN
/N0								
		^<V85			189	2	3	5
			+V86		24	1	0	1
			^<V87		36	3	1	3
			+V88		31	1	0	1
			^<V89		87	2	1	3
		^<V90			59	2	2	4
	^<V91				140	5	0	5
	^<V92				176	5	2	7
	^<V93				265	5	4	9
		+V94			120	1	1	2
		^<V95			164	3	2	5
			+V96		22	1	0	1
			^<V97		93	2	1	3
			+V98		17	1	0	1
			^<V99		143	2	2	4
		^<V100			158	3	2	5
		^<V101			116	3	2	5
			+V102		10	1	0	1
			+V103		10	1	0	1
		+V104			125	1	1	2
		^<V105			166	3	2	5
			+V106		20	1	0	1
			^<V107		113	3	2	4
			+V108		24	1	0	1
			^<V109		133	2	2	4
			^<V110		43	2	1	3
		^<V111			187	3	3	6
		^<V112			167	3	3	6
			+V113		15	1	0	1
			+V114		15	1	0	1
		+V115			56	1	0	1
		^<V116			173	3	2	5
		^<V117			166	3	3	5
			+V118		26	1	0	1
		^<V119			170	3	3	6
			+V120		20	1	0	1
			+V121		15	1	0	1
		+V122			88	2	1	2
		^<V123			190	2	3	5
		^<V124			237	3	4	6
			+V125		84	1	1	2
			+V126		20	1	0	1
			+V127		21	1	0	1
	^<V128				227	3	3	6
	^<V129				344	3	6	9
		+V130			178	1	2	3
		^<V131			251	3	4	7
			+V132		82	1	1	2
			+V133		83	1	1	2
			+V134		30	1	0	1
			^<V135		69	2	1	3
	^<V136				115	5	5	9
		+V137			193	1	3	4
		^<V138			304	3	3	6
			+V139		23	1	0	1
			+V140		20	1	0	1
			+V141		10	1	0	1
			+V142		10	1	0	1
		+V143			169	1	3	4
		^<V144			158	4	2	6
			+V145		18	1	0	1
			+V146		18	1	0	1
		+V147			164	1	2	3
		^<V148			151	3	2	5
			+V149		16	1	0	1
			+V150		13	1	0	1
		+V151			165	1	2	3
		^<V152			192	4	3	7
			+V153		16	1	0	1
			+V154		16	1	0	1
		+V155			107	1	1	2
		^<V156			201	3	3	6
			+V157		17	1	0	1
			+V158		16	1	0	1
	^<V159				27	6	0	6
/N9								
	/V0				226	8	2	10
	^<V1				53	2	2	4
	^<V2				18	3	2	4
	^<V3				40	2	2	4
	^<V4				93	2	3	5
		+V5			17	1	1	2
		^<V6			132	2	2	4
		^<V7			123	2	2	4
		^<V8			94	3	2	5
		^<V9			92	5	2	7
		^<V10			107	2	2	4
		^<V11			64	4	2	6
	^<V12				160	3	3	6
		+V13			89	1	1	2
		^<V14			147	3	2	5
		^<V15			163	2	3	5
		^<V16			20	4	0	4
		^<V17			62	3	2	5
	^<V18				245	3	4	7
		+V19			94	1	1	2
		^<V20			169	3	3	6
		^<V21			29	3	2	5
			+V22		25	1	0	1
			^<V23		19	1	1	2
			^<V24		42	3	1	4
			^<V25		53	2	1	3
		^<V26			29	2	1	3
		^<V27			67	3	2	5
		^<V28			119	4	2	6
	^<V29				264	4	5	8
		+V30			145	1	2	3
		^<V31			60	4	2	6
			+V32		20	1	0	1
			^<V33		60	2	1	3
			^<V34		48	4	1	5
			^<V35		72	3	1	4
			+V36		20	1	0	1
			^<V37		62	2	1	3
			^<V38		102	4	2	6
			^<V39		59	3	1	4
		^<V40			48	3	1	4
		^<V41			165	3	3	6
		^<V42			269	3	4	7
			+V43		88	1	1	2
			+V44		88	1	1	2
			^<V45		22	5	0	5
		^<V46			29	8	0	8
		^<V47			17	9	0	9
		+V48			54	1	1	2
		^<V49			45	3	2	5
		^<V50			19	3	0	3
		^<V51			152	3	3	6
		^<V52			231	3	3	6
			+V53		15	1	0	1
			^<V54		40	4	0	4
		^<V55			112	6	2	8
			+V56		24	1	0	1
	^<V57				145	6	5	11
		+V58			4	1	0	1
		^<V59			67	2	1	3
			+V60		2	1	0	1
			^<V61		80	4	1	5
			^<V62		165	3	2	5
			+V63		2	1	0	1
			^<V64		77	3	1	4
			^<V65		164	3	2	5
		^<V66			155	5	2	7
		^<V67			316	3	4	7
			+V68		89	1	1	2
			+V69		80	1	1	2
		^<V70			170	3	3	6
			+V71		24	1	0	1
			+V72		24	1	0	1
	^<V73				180	4	3	7
		+V74			177	1	2	3
		^<V75			257	3	4	7
			+V76		22	1	0	1
			+V77		22	1	0	1
		^<V78			166	3	3	6
			+V79		20	1	0	1
			+V80		20	1	0	1
	^<V81				350	4	5	9
	^<V82				289	6	5	11
		+V83			129	1	2	3
		+V84			143	1	2	3
		+V85			105	1	1	2
		+V86			94	1	1	2
/N10								
	/V0				11	2	0	2
		+V1			244	8	2	10
		^<V2			11	3	2	5
		^<V3			11	2	1	3
		^<V4			29	3	2	5
		^<V5			82	3	4	6
			+V6		57	1	1	2
			^<V7		79	2	2	4
			^<V8		88	2	2	4
			^<V9		97	2	2	4
			^<V10		98	3	3	6
			^<V11		116	2	3	5
		^<V12			65	2	2	4
		^<V13			130	3	3	6
			+V14		34	1	0	1
			^<V15		92	3	2	4
			^<V16		45	3	2	4
			^<V17		76	2	2	4
			^<V18		46	2	1	3
			^<V19		55	2	1	3
			+V20		33	1	0	1
			^<V21		61	2	1	3
			^<V22		25	2	1	3
			^<V23		138	2	3	5
			^<V24		108	4	3	6
		^<V25			133	5	2	7
		^<V26			132	4	3	7
			+V27		145	1	1	2
			^<V28		115	1	2	3
			^<V29		105	3	2	5
				+V30	22	1	0	1
				^<V31	85	4	1	5
			^<V32		155	3	3	6
			^<V33		188	2	3	5
				+V34	89	1	1	2
				^<V35	22	2	2	4
				+V36	26	1	0	1
			^<V37		45	3	2	5
			+V38		147	1	1	2
			^<V39		110	1	2	3
			^<V40		94	3	2	5
			^<V41		159	4	3	6
				+V42	28	1	0	1
				^<V43	60	3	1	4
			^<V44		100	3	2	5
			^<V45		55	3	2	5
			^<V46		14	3	0	3
			^<V47		27	3	1	3
		^<V48			170	4	1	5
		^<V49			136	4	3	7
			+V50		60	1	0	1
			^<V51		41	3	1	4
			^<V52		152	3	2	5
			^<V53		121	3	3	6
				+V54	25	1	0	1
				+V55	25	1	0	1
			^<V56		72	3	2	5
				+V57	50	1	0	1
				^<V58	90	4	1	5
			^<V59		17	3	0	3
			+V60		60	1	0	1
			^<V61		53	3	1	4
			^<V62		150	3	2	5
			^<V63		88	3	2	5
				+V64	28	1	0	1
				^<V65	83	3	1	4
				+V66	38	1	0	1
				^<V67	76	3	1	4
			^<V68		91	3	2	5
		^<V69			119	3	2	5
		^<V70			101	5	3	7
			+V71		5	1	0	1
			^<V72		93	3	3	6
			^<V73		27	4	0	4
		^<V74			125	7	4	10
			+V75		132	2	2	3
			^<V76		170	2	2	4
			^<V77		215	5	3	8
				+V78	50	1	1	2
				+V79	50	1	1	2
			+V80		95	2	2	3
			^<V81		180	2	2	4
			^<V82		174	5	2	6
				+V83	25	1	0	1
		^<V84			14	4	0	4
/N11								
	/V0				252	9	3	11
	^<V1				5	2	1	3
	^<V2				13	2	1	3
	^<V3				15	2	1	3
	^<V4				36	2	2	4
	^<V5				110	2	3	5
	^<V6				145	2	3	5
		+V7			30	1	0	1
		^<V8			121	2	2	4
		^<V9			90	2	2	4
